original_address,lat,lon
"117 Plaza Cir, Alabaster, AL 35007",33.21851517,-86.82625437
"11775 US-43, Axis, AL 36505",30.94684193,-88.02463947
"1300 Bradley Ave, Bay Minette, AL 36507",30.89621835,-87.7749307
"Residential Association, Ballantrae, Ballantrae Club Dr, Pelham, AL 35124",33.25993372,-86.74354737
"3810 7th Ave, Bessemer, AL 35020",33.44142,-86.95092573
"2715 6th Ave N, Bessemer, AL 35020",33.41348214,-86.949522
"1326 N Church Rd, Bessemer, AL 35023",33.47169461,-87.03973582
"1501 4th Ave SW, Bessemer, AL 35022",33.35699967,-86.99116111
"1200 Powder Plant Rd, Bessemer, AL 35022",33.36650771,-87.01070635
"Sunny Meadows Neighborhood, Birmingham, AL 35242",33.5206824,-86.8024326
"3029 29th Ave N, Birmingham, AL 35207",33.55191285,-86.80717441
"1501 University Blvd, Birmingham, AL 35233",33.50160332,-86.8060001
"1121 Tuscaloosa Ave, Birmingham, AL 35211",33.49497193,-86.85051847
"5414 US-280, Birmingham, AL 35242",33.41806886,-86.66977676
"8920 Roebuck Blvd, Birmingham, AL 35206",33.5828211,-86.711659
"3901 4th St W, Birmingham, AL 35207",33.558806,-86.841651
"1000 Galleria Cir, Birmingham, AL 35244",33.3797658,-86.80761275
"1501-1519 Arthur Shores Dr SW, Birmingham, AL 35211",33.47161873,-86.85541172
"3960 Montclair Rd, Birmingham, AL 35213",33.50865185,-86.75712684
"1241 Pratt Hwy, Birmingham, AL 35214",33.55391661,-86.90333784
"524 6th Ave S, Birmingham, AL 35205",33.49746537,-86.82094461
"3501 28th St N, Birmingham, AL 35207",33.558277,-86.817323
"628 Red Lane Rd, Birmingham, AL 35215",33.59109998,-86.69918318
"2401 20th Pl S, Mountain Brook, AL 35223",33.488525,-86.786188
"2400 7th Ave N, Birmingham, AL 35203",33.523155,-86.804113
"224 Daniel Payne Dr, Birmingham, AL 35207",33.56263215,-86.83069532
"346 Gloria Rd SW, Birmingham, AL 35211",33.46475038,-86.86201479
"3301 Jefferson Ave SW, Birmingham, AL 35221",33.4637651,-86.8874455
"13400 AL-113, Brewton, AL 36426",31.1039239,-87.0722655
"3597 Jaybird Rd, Brighton, AL 35020",33.42871473,-86.95275423
"10001 Covered Bridge Rd, Brookwood, AL 35444",33.1902275,-87.2991007
"10902 Covered Bridge Rd, Brookwood, AL 35444",33.1914388,-87.2999931
"521 Co Rd 304, Calera, AL 35040",33.1413715,-86.7445918
"11101 Hwy 47, Chelsea, AL 35043",33.3401108,-86.6302625
"11690 N County Rd 41, Leeds, AL 35094",33.5439212,-86.5427551
"2131 7th St S, Clanton, AL 35046",32.8019252,-86.58222095
"980 W South Blvd, Montgomery, AL 36105",32.327663,-86.332299
"2646 Lay Dam Rd, Clanton, AL 35045",32.88500739,-86.62572211
"300 Arby Dr, Clanton, AL 35046",32.844783,-86.591747
"110 Sports Complex Dr, Helena, AL 35080",33.302018,-86.847245
"3201 Buttermilk Rd, Cottondale, AL 35453",33.1788952,-87.44584456
"3501 Buttermilk Rd, Cottondale, AL 35453",33.17602907,-87.44754723
"8051 Whispering Pines Rd, Daphne, AL 36526",30.618557,-87.87444315
"102 Plaza Cir, Daphne, AL 36526",30.64892538,-87.88019638
"27080 Pollard Rd, Daphne, AL 36526",30.602573,-87.8858005
"3227 Point Mallard Pkwy SE, Decatur, AL 35603",34.537707,-86.912435
"4700 Ter Q, Birmingham, AL 35208",33.48657493,-86.88620284
"4196 Ross Clark Cir, Dothan, AL 36303",31.25281775,-85.39206978
"2190 Ross Clark Cir, Dothan, AL 36301",31.19015405,-85.40034617
"13750 Co Rd 42, Fackler, AL 35746",34.7925827,-85.9099775
"6400 Terrace Ave, Fairfield, AL 35064",33.4761278,-86.91673366
"803 N Greeno Rd, Fairhope, AL 36532",30.5183129,-87.886143
"101 Hwy 55 W, Falkville, AL 35622",34.37401,-86.917711
"64 E Pike Rd, Falkville, AL 35622",34.3664738,-86.893343
"415 6th Ave, Foley, AL 36535",30.38750522,-87.69009595
"300 W Roosevelt Ave, Foley, AL 36535",30.401936,-87.687269
"1639 Co Rd 437, Good Hope, AL 35055",34.115293,-86.8634424
"150 Reverend Abraham Woods Jr Blvd, Birmingham, AL 35204",33.51405595,-86.83261236
"426 AL-69, Hanceville, AL 35077",34.0504416,-86.8722372
"2800 Co Rd 93, Helena, AL 35080",33.2929373,-86.9108642
