Name,Address,City,State,Post code,GPS Latitude,GPS Longitude,telephone,Open 24 hours,mon,tue,wed,thu,fri,sat,sun
BP NAMBUCCA HEADS TRAVEL CENTRE,2 CORKWOOD ROAD,VALLA,NSW,2448,-30.6271,152.9723,+61 2 6569 6833,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BALLINA TRAVEL CENTRE,41 BRUXNER HIGHWAY,WEST BALLINA,NSW,2478,-28.860888,153.516688,+61 499 930 132,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP Grenfell Road,11 GRENFELL ROAD,COWRA,NSW,2794,-33.8347,148.6734,+61 2 6342 1235,FALSE,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00
BP PORT OF BRISBANE,32 EXPORT STREET,LYTTON,QLD,4178,-27.4261,153.1534,+61 7 3393 5442,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP WARRNAMBOOL EAST,140 RAGLAN PDE,WARRNAMBOOL,VIC,3280,-38.382931,142.521469,+61 3 5562 8155,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BELLATA,NEWELL HIGHWAY,BELLATA,NSW,2397,-29.9172,149.7909,+61 2 6793 7528,FALSE,04:30-22:30,04:30-22:30,04:30-22:30,04:30-22:30,04:30-22:30,04:30-22:30,04:30-22:30
BP ROCKBANK (OUTBOUND),1789 WESTERN HIGHWAY,ROCKBANK,VIC,3335,-37.7387,144.6805,+61 3 9747 1544,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP MARMOR,BRUCE HIGHWAY,MARMOR,QLD,4702,-23.6821,150.7134,+61 7 4934 6196,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
24 SEVEN KEITH,12810 Dukes Highway,Keith,SA,5267,-36.0986,140.3539,+61 8 8755 3181,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BARNAWARTHA,Lot 1 SC MURRAY VALLEY HIGHWAY,BARNAWARTHA NORTH,VIC,3691,-36.0734,146.727674,+61 2 6026 7860,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP WINGFIELD,CNR GRAND JUNCTION & DUNSTAN STS,WINGFIELD,SA,5013,-34.849,138.5702,+61 8 8349 7422,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP MOREE (Newell Hwy),NEWELL HIGHWAY,MOREE,NSW,2400,-29.4817,149.8463,+61 2 6752 2999,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
