SHELL COOBER PEDY ROADHOUSE,454 Hutchison St Coober Pedy SA 5723,,,,,,886725350
,,,,,,,
SHELL OTR PORT AUGUSTA,10 Augusta Hwy Port Augusta SA 5700,,,,,,882005720
,,,,,,,
SHELL DESERT OAKS MOTEL ERLDUNDA,19668 Stuart Hwy (Cnr Lasseter Hwy) Ghan NT 0872,,,,,,889560984
,,,,,,,
,,,,,,,
SHELL BORDER VILLAGE,Eyre Highway Nullarbor SA 5690,,,,,,890393474
,,,,,,,
SHELL REDDY EXPRESS TAILEM BEND,69-71 Princes Hwy Tailem Bend SA 5260,,,,,,875478951
,,,,,,,
,,,,,,,
SHELL REDDY EXPRESS ALICE SPRINGS,Dalgety Rd & Lilbili St Alice Springs NT 0870,,,,,,889291946
,,,,,,,
,,,,,,,
SHELL BURONGA,141 Sturt Hghway Buronga NSW 2739,,,,,,350221766
,,,,,,,
SHELL WERRIGAR ROADHOUSE,213 Henty Hwy (Cnr Buronga Hwy) Warracknabeal VIC 3393,,,,,,353982144
,,,,,,,
SHELL HAY SOUTH,Sturt Hwy Hay NSW 2711,,,,,,269931544
,,,,,,,
SHELL HEYWOOD,2058 Henty Highway Heywood VIC 3304,,,,,,355271371
,,,,,,,
SHELL PORTLAND,615 Henty Hwy Portland VIC 3305,,,,,,355217227
,,,,,,,
SHELL REDDY EXPRESS MOUNT ISA TRUCKPORT,221-239 Barkly Hwy Mount Isa QLD 4825,,,,,,744134847
,,,,,,,
,,,,,,,
SHELL FINLEY,Cnr Newell Hwy & Murray Hut Drive Finley NSW 2713,,,,,,358833585
,,,,,,,
SHELL SEBASTOPOL,112-118 Hertford St. Sebastopol VIC 3356,,,,,,353127178
,,,,,,,
,,,,,,,
SHELL THREEWAYS ROADHOUSE,Cnr Stuart & Barkly Hwys Tennant Creek NT 0860,,,,,,889644539
SHELL REDDY EXPRESS WYALONG,Mid Western Hwy & Nicholson Lane Wyalong NSW 2671,,,,,,259258805
,,,,,,,
,,,,,,,
SHELL REDDY EXPRESS EUROA,167 Tarcombe St Euroa VIC 3666,,,,,,347000808
,,,,,,,
SHELL REDDY EXPRESS BUNKER HILL,1175 Hume Freeway Mickleham VIC 3064,,,,,,383240494
,,,,,,,
,,,,,,,
SHELL REDDY EXPRESS ALBURY NORTh,575 Wagga Rd Lavington NSW 2641,,,,,,260610971
,,,,,,,
,,,,,,,
SHELL REDDY EXPRESS GILGANDRA,Portion 101 Newell Highway (Cnr Tooraweenah Road) Gilgandra NSW 2827,,,,,,279049342
,,,,,,,
,,,,,,,
SHELL RICHMOND (MIDWAY),120 Goldring St Richmond QLD 4822,,,,,,735563981
,,,,,,,
SHELL REDDY EXPRESS GUNDAGAI TUCKERBOX,9321 Hume Highway (Cnr Annie Pyers Dve) Gundagai NSW 2722,,,,,,281124919
,,,,,,,
,,,,,,,
SHELL REDDY EXPRESS GUNDAGAI,99-115 Mount St (Cnr Middle St) Gundagai South NSW 2722,,,,,,259240818
,,,,,,,
,,,,,,,
SHELL DUNEDOO,21 Caigan St Dunedoo NSW 2844,,,,,,428687408
,,,,,,,
SHELL INJUNE,1 Hutton Street Injune QLD 4454,,,,,,746261369
,,,,,,,
SHELL NARRABRI TRUCKSTOP,11553 Newell Hwy Narrabri NSW 2390,,,,,,267991200
,,,,,,,
SHELL GUNNEDAH TRUCKSTOP,1 Kamilaroi Highway Gunnedah NSW 2380,,,,,,291919811
,,,,,,,
SHELL REDDY EXPRESS GOULBURN BIG MERINO,1-3 Sowerby St Goulburn NSW 2580,,,,,,248269674
,,,,,,,
,,,,,,,
SHELL MOONIE CROSSROADS,1 Moonie Highway Moonie QLD 4406,,,,,,746650200
,,,,,,,
