8711 18th Ave, Brooklyn, NY 11214
80 Torry Dr, Hamburg, NY 14075
Mile Post, 6N NY State Thruway, Hastings-On-Hudson, NY 10706
1799 Lehigh Station Rd, Henrietta, NY 14467
595 Calkins Rd, Henrietta, NY 14467
1186 Manitou Rd, Hilton, NY 14468
249 N Greece Rd, Hilton, NY 14468
75 Public Square, Holley, NY 14470
249 Buckley Rd, Holtsville, NY 11742
3315 Rush Mendon Rd, Honeoye Falls, NY 14472
167 N Main St, Honeoye Falls, NY 14472
95 Douglas Rd, Honeoye Falls, NY 14472
60 Main St, Huntington, NY 11743
295 Main St, Buffalo, NY 14203
102 Pierpont Pl, Staten Island, NY 10314
201 Central Ave, Jersey City, NJ 07307
914 Pavonia Ave, Jersey City, NJ 07306
50 Graham Rd W, Ithaca, NY 14850
76-09 34th Ave, Jackson Heights, NY 11372
238-10 Hillside Ave, Jamaica, NY 11426
89-25 Parsons Blvd, Jamaica, NY 11432
161 Grand Ave, Johnson City, NY 13790
740 Main St, Johnson City, NY 13790
2 Prindle Ave, Johnstown, NY 12095
135 Wilber Ave, Kenmore, NY 14217
425 Mang Ave, Kenmore, NY 14217
535 Belmont Ave, Kenmore, NY 14223
257 Fairview Ave, Verona, NJ 07044
280 Scottsville - West Henrietta Rd, West Henrietta, NY 14586
1446 Abbott Rd, Lackawanna, NY 14218
525 Pavement Rd, Lancaster, NY 14086
140 Hommocks Rd, Larchmont, NY 10538
11 Avis Dr, Latham, NY 12110
12 Bank St, Le Roy, NY 14482
8150 Vallance Rd, Le Roy, NY 14482
58-25 Little Neck Pkwy, Little Neck, NY 11362
4775 Wetzel Rd, Liverpool, NY 13090
133 Duerr Rd, Liverpool, NY 13090
106 Lake Dr, Liverpool, NY 13088
107 7th N St, Liverpool, NY 13088
292 North St, Pittsfield, MA 01201
40-15 29th St, Long Island City, NY 11101
32-23 Queens Blvd, Long Island City, NY 11101
8175 Sheridan Dr, Williamsville, NY 14221
351 North St, Canandaigua, NY 14424
3742 US-11, McGraw, NY 13101
306 Pearl St, Medina, NY 14103
81 Highland Ave, Middletown, NY 10940
155 Washington Ave, Mineola, NY 11501
230 Liberty Ave, Mineola, NY 11501
125 Neelytown Rd, Montgomery, NY 12549
2280 Park Rd, Mt Morris, NY 14510
8 Bradford Rd, Mt Vernon, NY 10553
44 Morrison Rd, Springfield, NJ 07081
31 Zukor Rd, New City, NY 10956
10 Medical Park Dr, Ballston Spa, NY 12020
999 Herricks Rd 113, New Hyde Park, NY 11040
3 Veterans Dr, New Paltz, NY 12561
1 Hudson Park Rd, New Rochelle, NY 10801
50 Weyman Ave, New Rochelle, NY 10805
80 Catherine St, New York, NY 10038
Between 32nd and 33rd Streets, Broadway and, 6th Ave, New York, NY 10001
390 Asser Levy Place, New York, NY 10010
58 W 42nd St, New York, NY 10036
62 Chelsea Piers, New York, NY 10011
60 Chelsea Piers, New York, NY 10011
125 W 14th St, New York, NY 10011
1401 Flatbush Ave, Brooklyn, NY 11210
760 Northfield Ave Suite 210A, West Orange, NJ 07052
18 Mt Morris Park W, New York, NY 10027
1899 Hempstead Tpke, East Meadow, NY 11554
205 W 119th St, New York, NY 10026
220 W 143rd St, New York, NY 10030
Webster Road, Little Falls Township, NJ 07424
2301 Amsterdam Ave, New York, NY 10033
232 W 60th St, New York, NY 10023
85 Bradhurst Ave, New York, NY 10039
482 W 43rd St 2nd floor, New York, NY 10036
195 Graham Ave, Brooklyn, NY 11206
344 E 14th St, New York, NY 10003
Battery Pl and, Washington St, New York, NY 10004
351 Fort Washington Ave, New York, NY 10033
E 10th St, New York, NY 10009
611 E 13th St, New York, NY 10009
224 E 47th St, New York, NY 10017
434 Westchester Ave, Bronx, NY 10455
239 NY-17K, Newburgh, NY 12550
1201 Hyde Park Blvd, Niagara Falls, NY 14301
2713 Niagara Fls Blvd, Niagara Falls, NY 14304
4300 Pine Ave, Niagara Falls, NY 14301
530 66th St, Niagara Falls, NY 14304
5777 Witmer Rd, Niagara Falls, NY 14305
261-10 Bridgewater Ave, Glen Oaks, NY 11004
305 Stanton Hill Rd, Nichols, NY 13812
Southern Tier Expy, Nichols, NY 13812
2682 Aqueduct Rd, Niskayuna, NY 12309
151 Phelps Ln, North Babylon, NY 11703
129 Parkway, North Chili, NY 14514
848 Payne Ave, North Tonawanda, NY 14120
Fairmount Park, 3185 Stieg Rd, North Tonawanda, NY 14120
Merrick Ave, East Meadow, NY 11554
51 West End Ave, Oneonta, NY 13820
150 Tech Dr, Amherst, NY 14221
4520 California Rd, Orchard Park, NY 14127
3636 Eggert Rd, Orchard Park, NY 14127
Southern Tier Expy, Painted Post, NY 14870
881 West Ave, Port Reading, NJ 07064
Wilson Park, 1100 Summit Terrace, Linden, NJ 07036
35 Cazenovia St, Buffalo, NY 14210
101 Ransom Oaks Dr, East Amherst, NY 14051
1985 Baird Rd, Penfield, NY 14526
1835 Fairport Nine Mile Point Rd, Penfield, NY 14526
8 Banta St Suite 100, Phelps, NY 14532
204 Hudson Terrace, Piermont, NY 10968
50 Office Park Way, Pittsford, NY 14534
170 W Jefferson Rd, Pittsford, NY 14534
35 Lincoln Ave, Pittsford, NY 14534
20 Arrowhead Rd, Pittsford, NY 14534
4319 NY-22, Plattsburgh, NY 12901
18 Keyes Ln, Troy, NY 12180
424 Stafford St, Palmyra, NY 14522
131-04 Meridian Rd, Queens, NY 11368
207 Beach 73rd St, Queens, NY 11692
59 Fisk St 1713, Red Hook, NY 12571
98-00 62nd Dr, Rego Park, NY 11374
460 Aiken Ave, Rensselaer, NY 12144
69-02 64th St, Ridgewood, NY 11385
6201 Shortman Rd, Ripley, NY 14775
Global Village Plaza, 400 Reynolds Dr, Rochester, NY 14623
Otto A Shults Community Center, 4245 East Ave, Rochester, NY 14618
2300 Elmwood Ave, Rochester, NY 14618
524 Campbell St, Rochester, NY 14611
1281 Long Pond Rd, Rochester, NY 14626
500 Carter St, Rochester, NY 14621
3237 Chili Ave, Rochester, NY 14624
2 Riverside St, Rochester, NY 14613
450 Skyview Centre Pkwy Suite 200, Rochester, NY 14622
200 West Ave, Rochester, NY 14611
700 North St, Rochester, NY 14605
41 Backus St, Rochester, NY 14608
999 South Ave, Rochester, NY 14620
1045 Atlantic Ave, Rochester, NY 14609
485 N Clinton Ave, Rochester, NY 14605
The Quarter Mile Walkway, Rochester, NY 14623
241 Elmgrove Rd, Rochester, NY 14626
605 Calkins Rd, Rochester, NY 14623
821 N Clinton Ave, Rochester, NY 14605
340 Arnett Blvd, Rochester, NY 14619
150 Frank Dimino Wy, Rochester, NY 14624
1600 East Ridge Road, Rochester, NY 14621
455 La Grange Ave, Rochester, NY 14615
1340 W Ridge Rd, Rochester, NY 14615
100 Kentucky Ave, Rochester, NY 14606
1200 Edgewood Ave, Rochester, NY 14618
50 Beach Ave, Rochester, NY 14612
1890 W Ridge Rd, Rochester, NY 14615
1564 Lyell Ave, Rochester, NY 14606
1035 Dewey Ave, Rochester, NY 14613
100 Kidd Castle Way, Webster, NY 14580
180 Beach Ave, Rochester, NY 14612
920 Elmgrove Rd, Rochester, NY 14624
675 Ling Rd, Rochester, NY 14612
530 Webster Ave, Rochester, NY 14609
3 Vince Tofany Blvd, Rochester, NY 14612
4600 Culver Rd, Rochester, NY 14622
199 E Manitou Rd, Rochester, NY 14612
85 Adams St Suite 2210, Rochester, NY 14608
271 Flint St, Rochester, NY 14608
190 Greece Ridge Center Dr, Rochester, NY 14626
21 Locust Ave, Rye, NY 10580
